[span_L5_s21_c1_z1_T1] start fitness 2999 / 4096  (CZ layer 1, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 05:11:24] span_L5_s21_c1_z1_T1   1095s  best 3881/4096  current 3841  kicks 12  iters 36702204 (33521/s)  best: cx 26 tof 18
[2026-09-25 05:11:39] span_L5_s21_c1_z1_T1   1110s  best 3881/4096  current 3789  kicks 13  iters 37134134 (33459/s)  best: cx 26 tof 18
[2026-09-25 05:11:53] span_L5_s21_c1_z1_T1   1124s  best 3881/4096  current 3841  kicks 13  iters 37587993 (33428/s)  best: cx 26 tof 18
[2026-09-25 05:12:08] span_L5_s21_c1_z1_T1   1139s  best 3881/4096  current 3867  kicks 13  iters 38064878 (33409/s)  best: cx 26 tof 18
[2026-09-25 05:12:18] span_L5_s21_c1_z1_T1   1150s  best 3881/4096  current 3867  kicks 13  iters 38377566 (33385/s)  best: cx 26 tof 18
[2026-09-25 05:12:28] span_L5_s21_c1_z1_T1   1160s  best 3881/4096  current 3867  kicks 13  iters 38691023 (33368/s)  best: cx 26 tof 18
[2026-09-25 05:12:42] span_L5_s21_c1_z1_T1   1173s  best 3881/4096  current 3775  kicks 14  iters 39211163 (33418/s)  best: cx 26 tof 18
[2026-09-25 05:12:52] span_L5_s21_c1_z1_T1   1183s  best 3881/4096  current 3775  kicks 14  iters 39602460 (33465/s)  best: cx 26 tof 18
[2026-09-25 05:13:07] span_L5_s21_c1_z1_T1   1198s  best 3881/4096  current 3775  kicks 14  iters 40197944 (33548/s)  best: cx 26 tof 18
[2026-09-25 05:13:17] span_L5_s21_c1_z1_T1   1208s  best 3881/4096  current 3775  kicks 14  iters 40590158 (33589/s)  best: cx 26 tof 18
[2026-09-25 05:13:32] span_L5_s21_c1_z1_T1   1223s  best 3881/4096  current 3775  kicks 14  iters 41176811 (33660/s)  best: cx 26 tof 18
[2026-09-25 05:13:43] span_L5_s21_c1_z1_T1   1234s  best 3881/4096  current 3695  kicks 15  iters 41544522 (33663/s)  best: cx 26 tof 18
[2026-09-25 05:13:54] span_L5_s21_c1_z1_T1   1245s  best 3881/4096  current 3713  kicks 15  iters 41881314 (33648/s)  best: cx 26 tof 18
[2026-09-25 05:14:08] span_L5_s21_c1_z1_T1   1259s  best 3881/4096  current 3731  kicks 15  iters 42374437 (33649/s)  best: cx 26 tof 18
[2026-09-25 05:14:23] span_L5_s21_c1_z1_T1   1274s  best 3881/4096  current 3749  kicks 15  iters 42906356 (33685/s)  best: cx 26 tof 18
