[span_L7_s63_c1_z3_long] start fitness 3232 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 07:36:51] span_L7_s63_c1_z3_long   1189s  best 3680/4096  current 3572  kicks 10  iters 2719979 (2288/s)  best: cx 35 tof 29
[2026-09-25 07:37:02] span_L7_s63_c1_z3_long   1200s  best 3680/4096  current 3579  kicks 11  iters 2743465 (2287/s)  best: cx 35 tof 29
[2026-09-25 07:37:16] span_L7_s63_c1_z3_long   1214s  best 3680/4096  current 3589  kicks 11  iters 2773714 (2285/s)  best: cx 35 tof 29
[2026-09-25 07:37:26] span_L7_s63_c1_z3_long   1224s  best 3680/4096  current 3592  kicks 11  iters 2795873 (2284/s)  best: cx 35 tof 29
[2026-09-25 07:37:37] span_L7_s63_c1_z3_long   1235s  best 3680/4096  current 3595  kicks 11  iters 2817431 (2282/s)  best: cx 35 tof 29
[2026-09-25 07:37:51] span_L7_s63_c1_z3_long   1249s  best 3680/4096  current 3603  kicks 11  iters 2848481 (2280/s)  best: cx 35 tof 29
[2026-09-25 07:38:06] span_L7_s63_c1_z3_long   1264s  best 3680/4096  current 3588  kicks 12  iters 2884045 (2282/s)  best: cx 35 tof 29
[2026-09-25 07:38:16] span_L7_s63_c1_z3_long   1274s  best 3680/4096  current 3587  kicks 12  iters 2908624 (2283/s)  best: cx 35 tof 29
[2026-09-25 07:38:26] span_L7_s63_c1_z3_long   1284s  best 3680/4096  current 3586  kicks 12  iters 2932171 (2283/s)  best: cx 35 tof 29
[2026-09-25 07:38:41] span_L7_s63_c1_z3_long   1299s  best 3680/4096  current 3596  kicks 12  iters 2969646 (2286/s)  best: cx 35 tof 29
[2026-09-25 07:38:51] span_L7_s63_c1_z3_long   1309s  best 3680/4096  current 3585  kicks 12  iters 2993393 (2287/s)  best: cx 35 tof 29
[2026-09-25 07:39:02] span_L7_s63_c1_z3_long   1320s  best 3680/4096  current 3566  kicks 13  iters 3016761 (2285/s)  best: cx 35 tof 29
[2026-09-25 07:39:14] span_L7_s63_c1_z3_long   1332s  best 3680/4096  current 3595  kicks 13  iters 3035345 (2279/s)  best: cx 35 tof 29
[2026-09-25 07:39:29] span_L7_s63_c1_z3_long   1346s  best 3680/4096  current 3628  kicks 13  iters 3057605 (2270/s)  best: cx 35 tof 29
[2026-09-25 07:39:39] span_L7_s63_c1_z3_long   1356s  best 3680/4096  current 3627  kicks 13  iters 3072146 (2264/s)  best: cx 35 tof 29
[2026-09-25 07:39:49] span_L7_s63_c1_z3_long   1366s  best 3680/4096  current 3631  kicks 13  iters 3086645 (2258/s)  best: cx 35 tof 29
[2026-09-25 07:40:02] span_L7_s63_c1_z3_long   1379s  best 3680/4096  current 3567  kicks 14  iters 3108991 (2253/s)  best: cx 35 tof 29
[2026-09-25 07:40:12] span_L7_s63_c1_z3_long   1390s  best 3680/4096  current 3585  kicks 14  iters 3132349 (2253/s)  best: cx 35 tof 29
[2026-09-25 07:40:22] span_L7_s63_c1_z3_long   1400s  best 3680/4096  current 3591  kicks 14  iters 3156211 (2254/s)  best: cx 35 tof 29
[2026-09-25 07:40:32] span_L7_s63_c1_z3_long   1410s  best 3680/4096  current 3592  kicks 14  iters 3178091 (2254/s)  best: cx 35 tof 29
[2026-09-25 07:40:47] span_L7_s63_c1_z3_long   1425s  best 3680/4096  current 3597  kicks 14  iters 3211917 (2254/s)  best: cx 35 tof 29
[2026-09-25 07:41:02] span_L7_s63_c1_z3_long   1439s  best 3680/4096  current 3598  kicks 14  iters 3247791 (2256/s)  best: cx 35 tof 29
[2026-09-25 07:41:12] span_L7_s63_c1_z3_long   1450s  best 3680/4096  current 3584  kicks 15  iters 3271249 (2255/s)  best: cx 35 tof 29
[2026-09-25 07:41:22] span_L7_s63_c1_z3_long   1460s  best 3680/4096  current 3606  kicks 15  iters 3293403 (2255/s)  best: cx 35 tof 29
[2026-09-25 07:41:33] span_L7_s63_c1_z3_long   1471s  best 3680/4096  current 3655  kicks 15  iters 3313246 (2252/s)  best: cx 35 tof 29
[2026-09-25 07:41:43] span_L7_s63_c1_z3_long   1481s  best 3680/4096  current 3667  kicks 15  iters 3330817 (2248/s)  best: cx 35 tof 29
[2026-09-25 07:41:58] span_L7_s63_c1_z3_long   1496s  best 3680/4096  current 3669  kicks 15  iters 3357213 (2243/s)  best: cx 35 tof 29
[2026-09-25 07:42:12] span_L7_s63_c1_z3_long   1510s  best 3680/4096  current 3560  kicks 16  iters 3387246 (2243/s)  best: cx 35 tof 29
[2026-09-25 07:42:22] span_L7_s63_c1_z3_long   1520s  best 3680/4096  current 3564  kicks 16  iters 3411156 (2244/s)  best: cx 35 tof 29
[2026-09-25 07:42:32] span_L7_s63_c1_z3_long   1530s  best 3680/4096  current 3576  kicks 16  iters 3434843 (2244/s)  best: cx 35 tof 29
[2026-09-25 07:42:47] span_L7_s63_c1_z3_long   1545s  best 3680/4096  current 3591  kicks 16  iters 3469402 (2245/s)  best: cx 35 tof 29
[2026-09-25 07:42:57] span_L7_s63_c1_z3_long   1555s  best 3680/4096  current 3609  kicks 16  iters 3492287 (2245/s)  best: cx 35 tof 29
[2026-09-25 07:43:08] span_L7_s63_c1_z3_long   1566s  best 3680/4096  current 3622  kicks 16  iters 3514507 (2244/s)  best: cx 35 tof 29
[2026-09-25 07:43:23] span_L7_s63_c1_z3_long   1580s  best 3680/4096  current 3652  kicks 17  iters 3549462 (2245/s)  best: cx 35 tof 29
[2026-09-25 07:43:38] span_L7_s63_c1_z3_long   1596s  best 3680/4096  current 3652  kicks 17  iters 3584556 (2246/s)  best: cx 35 tof 29
