[evo3_logo_L6_s1] start fitness 3269 / 4096  P3 0.30  restart after 90s without gain
[2026-09-25 02:23:12] evo3_logo_L6_s1   1081s  best 3903/4096  current 3835  restarts 4  iters 39319070 (36376/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:23:27] evo3_logo_L6_s1   1096s  best 3903/4096  current 3835  restarts 4  iters 39879957 (36394/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:23:37] evo3_logo_L6_s1   1106s  best 3903/4096  current 3835  restarts 4  iters 40251835 (36400/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:23:47] evo3_logo_L6_s1   1116s  best 3903/4096  current 3835  restarts 4  iters 40620262 (36403/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:23:57] evo3_logo_L6_s1   1126s  best 3903/4096  current 3835  restarts 4  iters 40987932 (36401/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:24:12] evo3_logo_L6_s1   1141s  best 3903/4096  current 3835  restarts 4  iters 41542356 (36417/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:24:22] evo3_logo_L6_s1   1151s  best 3903/4096  current 3835  restarts 4  iters 41925748 (36423/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:24:38] evo3_logo_L6_s1   1167s  best 3903/4096  current 3687  restarts 5  iters 42483884 (36412/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:24:52] evo3_logo_L6_s1   1181s  best 3903/4096  current 3771  restarts 5  iters 42983458 (36382/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:25:07] evo3_logo_L6_s1   1196s  best 3903/4096  current 3805  restarts 5  iters 43515171 (36380/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:25:22] evo3_logo_L6_s1   1211s  best 3903/4096  current 3816  restarts 5  iters 44062938 (36384/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:25:32] evo3_logo_L6_s1   1221s  best 3903/4096  current 3817  restarts 5  iters 44431710 (36383/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:25:47] evo3_logo_L6_s1   1236s  best 3903/4096  current 3820  restarts 5  iters 44971591 (36382/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:26:02] evo3_logo_L6_s1   1251s  best 3903/4096  current 3821  restarts 5  iters 45521899 (36386/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:26:17] evo3_logo_L6_s1   1266s  best 3903/4096  current 3821  restarts 5  iters 46087055 (36408/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:26:27] evo3_logo_L6_s1   1276s  best 3903/4096  current 3821  restarts 5  iters 46468838 (36416/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:26:42] evo3_logo_L6_s1   1291s  best 3903/4096  current 3821  restarts 5  iters 47028240 (36431/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:26:52] evo3_logo_L6_s1   1301s  best 3903/4096  current 3821  restarts 5  iters 47408110 (36439/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:27:02] evo3_logo_L6_s1   1311s  best 3903/4096  current 3821  restarts 5  iters 47784265 (36448/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:27:17] evo3_logo_L6_s1   1326s  best 3903/4096  current 3821  restarts 5  iters 48349610 (36465/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:27:27] evo3_logo_L6_s1   1336s  best 3903/4096  current 3821  restarts 5  iters 48726845 (36470/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:27:44] evo3_logo_L6_s1   1353s  best 3903/4096  current 3641  restarts 6  iters 49290085 (36438/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:27:58] evo3_logo_L6_s1   1367s  best 3903/4096  current 3695  restarts 6  iters 49717095 (36358/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:28:13] evo3_logo_L6_s1   1382s  best 3903/4096  current 3699  restarts 6  iters 50207944 (36337/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:28:27] evo3_logo_L6_s1   1396s  best 3903/4096  current 3823  restarts 6  iters 50749436 (36342/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:28:37] evo3_logo_L6_s1   1407s  best 3903/4096  current 3823  restarts 6  iters 51114839 (36341/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:28:52] evo3_logo_L6_s1   1421s  best 3903/4096  current 3827  restarts 6  iters 51661708 (36344/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:29:07] evo3_logo_L6_s1   1436s  best 3903/4096  current 3829  restarts 6  iters 52213666 (36348/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:29:22] evo3_logo_L6_s1   1452s  best 3903/4096  current 3829  restarts 6  iters 52767276 (36352/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:29:37] evo3_logo_L6_s1   1466s  best 3903/4096  current 3833  restarts 6  iters 53316097 (36360/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:29:47] evo3_logo_L6_s1   1477s  best 3903/4096  current 3833  restarts 6  iters 53686642 (36360/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:29:57] evo3_logo_L6_s1   1487s  best 3903/4096  current 3847  restarts 6  iters 54041645 (36354/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:30:12] evo3_logo_L6_s1   1501s  best 3903/4096  current 3875  restarts 6  iters 54587221 (36355/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:30:27] evo3_logo_L6_s1   1516s  best 3903/4096  current 3875  restarts 6  iters 55151396 (36371/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:30:37] evo3_logo_L6_s1   1526s  best 3903/4096  current 3875  restarts 6  iters 55524079 (36375/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:30:47] evo3_logo_L6_s1   1536s  best 3903/4096  current 3875  restarts 6  iters 55888101 (36374/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
