basis ckpt/basis_s1.pkl: 286 ANF monomials
[span_L6_s76_c1_z3_basis] start fitness 3824 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 10:55:15] span_L6_s76_c1_z3_basis   1046s  best 3890/4096  current 3857  kicks 13  iters 2412632 (2307/s)  best: cx 35 tof 22
[2026-09-25 10:55:30] span_L6_s76_c1_z3_basis   1061s  best 3890/4096  current 3838  kicks 14  iters 2448393 (2308/s)  best: cx 35 tof 22
[2026-09-25 10:55:40] span_L6_s76_c1_z3_basis   1071s  best 3890/4096  current 3829  kicks 14  iters 2471938 (2308/s)  best: cx 35 tof 22
[2026-09-25 10:55:55] span_L6_s76_c1_z3_basis   1086s  best 3890/4096  current 3838  kicks 14  iters 2507032 (2309/s)  best: cx 35 tof 22
[2026-09-25 10:56:10] span_L6_s76_c1_z3_basis   1101s  best 3890/4096  current 3836  kicks 14  iters 2543157 (2309/s)  best: cx 35 tof 22
[2026-09-25 10:56:24] span_L6_s76_c1_z3_basis   1115s  best 3890/4096  current 3854  kicks 15  iters 2578471 (2311/s)  best: cx 35 tof 22
[2026-09-25 10:56:35] span_L6_s76_c1_z3_basis   1126s  best 3890/4096  current 3866  kicks 15  iters 2603841 (2313/s)  best: cx 35 tof 22
[2026-09-25 10:56:45] span_L6_s76_c1_z3_basis   1136s  best 3890/4096  current 3871  kicks 15  iters 2627503 (2312/s)  best: cx 35 tof 22
[2026-09-25 10:57:00] span_L6_s76_c1_z3_basis   1151s  best 3890/4096  current 3872  kicks 15  iters 2661957 (2312/s)  best: cx 35 tof 22
[2026-09-25 10:57:10] span_L6_s76_c1_z3_basis   1161s  best 3890/4096  current 3877  kicks 15  iters 2685007 (2312/s)  best: cx 35 tof 22
[2026-09-25 10:57:25] span_L6_s76_c1_z3_basis   1175s  best 3890/4096  current 3834  kicks 16  iters 2720774 (2314/s)  best: cx 35 tof 22
[2026-09-25 10:57:35] span_L6_s76_c1_z3_basis   1186s  best 3890/4096  current 3836  kicks 16  iters 2746472 (2315/s)  best: cx 35 tof 22
[2026-09-25 10:57:45] span_L6_s76_c1_z3_basis   1196s  best 3890/4096  current 3826  kicks 16  iters 2769960 (2315/s)  best: cx 35 tof 22
[2026-09-25 10:58:00] span_L6_s76_c1_z3_basis   1211s  best 3890/4096  current 3829  kicks 16  iters 2806326 (2317/s)  best: cx 35 tof 22
[2026-09-25 10:58:11] span_L6_s76_c1_z3_basis   1221s  best 3890/4096  current 3834  kicks 16  iters 2830270 (2317/s)  best: cx 35 tof 22
[2026-09-25 10:58:25] span_L6_s76_c1_z3_basis   1236s  best 3890/4096  current 3851  kicks 17  iters 2862697 (2315/s)  best: cx 35 tof 22
[2026-09-25 10:58:36] span_L6_s76_c1_z3_basis   1247s  best 3890/4096  current 3880  kicks 17  iters 2884621 (2314/s)  best: cx 35 tof 22
[2026-09-25 10:58:50] span_L6_s76_c1_z3_basis   1261s  best 3890/4096  current 3870  kicks 17  iters 2916823 (2312/s)  best: cx 35 tof 22
[2026-09-25 10:59:01] span_L6_s76_c1_z3_basis   1271s  best 3890/4096  current 3869  kicks 17  iters 2939270 (2311/s)  best: cx 35 tof 22
[2026-09-25 10:59:15] span_L6_s76_c1_z3_basis   1286s  best 3890/4096  current 3852  kicks 17  iters 2971990 (2310/s)  best: cx 35 tof 22
[2026-09-25 10:59:25] span_L6_s76_c1_z3_basis   1296s  best 3890/4096  current 3861  kicks 17  iters 2995797 (2311/s)  best: cx 35 tof 22
[2026-09-25 10:59:40] span_L6_s76_c1_z3_basis   1311s  best 3890/4096  current 3854  kicks 18  iters 3033856 (2314/s)  best: cx 35 tof 22
[2026-09-25 10:59:50] span_L6_s76_c1_z3_basis   1321s  best 3890/4096  current 3853  kicks 18  iters 3059619 (2316/s)  best: cx 35 tof 22
[2026-09-25 11:00:05] span_L6_s76_c1_z3_basis   1336s  best 3890/4096  current 3849  kicks 18  iters 3098868 (2320/s)  best: cx 35 tof 22
[2026-09-25 11:00:15] span_L6_s76_c1_z3_basis   1346s  best 3890/4096  current 3863  kicks 18  iters 3125432 (2322/s)  best: cx 35 tof 22
[2026-09-25 11:00:30] span_L6_s76_c1_z3_basis   1361s  best 3890/4096  current 3867  kicks 18  iters 3163217 (2324/s)  best: cx 35 tof 22
[2026-09-25 11:00:42] span_L6_s76_c1_z3_basis   1373s  best 3890/4096  current 3863  kicks 19  iters 3186573 (2321/s)  best: cx 35 tof 22
[2026-09-25 11:00:57] span_L6_s76_c1_z3_basis   1388s  best 3890/4096  current 3865  kicks 19  iters 3214258 (2316/s)  best: cx 35 tof 22
[2026-09-25 11:01:07] span_L6_s76_c1_z3_basis   1398s  best 3890/4096  current 3877  kicks 19  iters 3232286 (2312/s)  best: cx 35 tof 22
[2026-09-25 11:01:22] span_L6_s76_c1_z3_basis   1413s  best 3890/4096  current 3877  kicks 19  iters 3258932 (2306/s)  best: cx 35 tof 22
[2026-09-25 11:01:32] span_L6_s76_c1_z3_basis   1423s  best 3890/4096  current 3867  kicks 19  iters 3276823 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:01:46] span_L6_s76_c1_z3_basis   1437s  best 3890/4096  current 3839  kicks 20  iters 3308646 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:02:01] span_L6_s76_c1_z3_basis   1452s  best 3890/4096  current 3823  kicks 20  iters 3343449 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:02:16] span_L6_s76_c1_z3_basis   1467s  best 3890/4096  current 3836  kicks 20  iters 3377100 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:02:30] span_L6_s76_c1_z3_basis   1481s  best 3890/4096  current 3844  kicks 20  iters 3414023 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:02:41] span_L6_s76_c1_z3_basis   1492s  best 3890/4096  current 3854  kicks 21  iters 3440713 (2306/s)  best: cx 35 tof 22
[2026-09-25 11:02:51] span_L6_s76_c1_z3_basis   1502s  best 3890/4096  current 3859  kicks 21  iters 3463051 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:03:01] span_L6_s76_c1_z3_basis   1512s  best 3890/4096  current 3869  kicks 21  iters 3484702 (2304/s)  best: cx 35 tof 22
[2026-09-25 11:03:15] span_L6_s76_c1_z3_basis   1526s  best 3890/4096  current 3860  kicks 21  iters 3516180 (2303/s)  best: cx 35 tof 22
[2026-09-25 11:03:26] span_L6_s76_c1_z3_basis   1537s  best 3890/4096  current 3877  kicks 21  iters 3542448 (2304/s)  best: cx 35 tof 22
[2026-09-25 11:03:41] span_L6_s76_c1_z3_basis   1552s  best 3890/4096  current 3840  kicks 22  iters 3578741 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:03:57] span_L6_s76_c1_z3_basis   1568s  best 3890/4096  current 3832  kicks 22  iters 3613699 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:04:07] span_L6_s76_c1_z3_basis   1578s  best 3890/4096  current 3866  kicks 22  iters 3635047 (2303/s)  best: cx 35 tof 22
[2026-09-25 11:04:22] span_L6_s76_c1_z3_basis   1593s  best 3890/4096  current 3852  kicks 22  iters 3666595 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:04:32] span_L6_s76_c1_z3_basis   1603s  best 3890/4096  current 3861  kicks 22  iters 3687881 (2300/s)  best: cx 35 tof 22
[2026-09-25 11:04:46] span_L6_s76_c1_z3_basis   1617s  best 3890/4096  current 3843  kicks 23  iters 3721450 (2301/s)  best: cx 35 tof 22
[2026-09-25 11:04:56] span_L6_s76_c1_z3_basis   1627s  best 3890/4096  current 3839  kicks 23  iters 3746213 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:05:07] span_L6_s76_c1_z3_basis   1638s  best 3890/4096  current 3836  kicks 23  iters 3769196 (2301/s)  best: cx 35 tof 22
[2026-09-25 11:05:17] span_L6_s76_c1_z3_basis   1648s  best 3890/4096  current 3848  kicks 23  iters 3791620 (2301/s)  best: cx 35 tof 22
[2026-09-25 11:05:31] span_L6_s76_c1_z3_basis   1662s  best 3890/4096  current 3865  kicks 23  iters 3827300 (2302/s)  best: cx 35 tof 22
[2026-09-25 11:05:41] span_L6_s76_c1_z3_basis   1672s  best 3890/4096  current 3872  kicks 23  iters 3853347 (2304/s)  best: cx 35 tof 22
[2026-09-25 11:05:52] span_L6_s76_c1_z3_basis   1682s  best 3890/4096  current 3835  kicks 24  iters 3878565 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:06:06] span_L6_s76_c1_z3_basis   1697s  best 3890/4096  current 3850  kicks 24  iters 3913221 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:06:17] span_L6_s76_c1_z3_basis   1707s  best 3890/4096  current 3840  kicks 24  iters 3936492 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:06:27] span_L6_s76_c1_z3_basis   1717s  best 3890/4096  current 3836  kicks 24  iters 3960950 (2306/s)  best: cx 35 tof 22
[2026-09-25 11:06:37] span_L6_s76_c1_z3_basis   1728s  best 3890/4096  current 3831  kicks 24  iters 3984668 (2306/s)  best: cx 35 tof 22
[2026-09-25 11:06:52] span_L6_s76_c1_z3_basis   1743s  best 3890/4096  current 3847  kicks 25  iters 4019740 (2305/s)  best: cx 35 tof 22
[2026-09-25 11:07:07] span_L6_s76_c1_z3_basis   1757s  best 3890/4096  current 3827  kicks 25  iters 4054452 (2306/s)  best: cx 35 tof 22
[2026-09-25 11:07:17] span_L6_s76_c1_z3_basis   1768s  best 3890/4096  current 3836  kicks 25  iters 4078865 (2307/s)  best: cx 35 tof 22
[2026-09-25 11:07:31] span_L6_s76_c1_z3_basis   1782s  best 3890/4096  current 3834  kicks 25  iters 4114551 (2308/s)  best: cx 35 tof 22
[2026-09-25 11:07:42] span_L6_s76_c1_z3_basis   1792s  best 3890/4096  current 3822  kicks 25  iters 4139951 (2309/s)  best: cx 35 tof 22
[2026-09-25 11:07:52] span_L6_s76_c1_z3_basis   1802s  best 3890/4096  current 3857  kicks 26  iters 4164141 (2310/s)  best: cx 35 tof 22
[span_L6_s76_c1_z3_basis] final best 3890 / 4096
